0/12343: emocional -->  EMOCIONAL
2372/12343: cargada -->  CARGADO
2373/12343: mordió -->  MORDER
2374/12343: hinchada -->  HINCHADA
2375/12343: roja -->  ROJO
2376/12343: antibiótico -->  ANTIBIÓTICO
2377/12343: olía -->  OLER
2378/12343: mojo -->  MOJO
2379/12343: vuelta -->  VUELTA
2380/12343: mancha -->  MANCHA
2381/12343: desprende -->  DESPRENDER
2382/12343: vértigo -->  VÉRTIGO
2383/12343: barrerla -->  BARRER
2384/12343: debajo -->  DEBAJO
2385/12343: olor -->  OLOR
2386/12343: metiendo -->  METER
2387/12343: vendrá -->  VENIR
2388/12343: perito -->  PERITO
2389/12343: inútiles -->  INÚTIL
2390/12343: faena -->  FAENA
2391/12343: gracia -->  GRACIA
2392/12343: quedaba -->  QUEDAR
2393/12343: lloviendo -->  LLOVER
2394/12343: comí -->  COMER
2395/12343: excedí -->  EXCEDER
2396/12343: labores -->  LABOR
2397/12343: toca -->  TOCA
2398/12343: venían -->  VENIR
2399/12343: peritos -->  PERITO
2400/12343: llame -->  LLAMAR
2401/12343: medicinas -->  MEDICINA
2402/12343: revisión -->  REVISIÓN
2403/12343: pidiera -->  PEDIR
2404/12343: recetas -->  RECETA
2405/12343: increíble -->  INCREÍBLE
2406/12343: insultándome -->  -
2407/12343: gritándome -->  -
2408/12343: amenazándome -->  -
2409/12343: tratos -->  TRATO
2410/12343: zorra -->  ZORRO
2411/12343: muera -->  MORIR
2412/12343: lidl -->  -
2413/12343: fregadero -->  FREGADERO
2414/12343: lavabo -->  LAVABO
2415/12343: desatascar -->  DESATASCAR
2416/12343: insultarme -->  INSULTAR
2417/12343: gritarme -->  GRITAR
2418/12343: dijo -->  DECIR
2419/12343: collarín -->  COLLARÍN
2420/12343: viejito -->  -
2421/12343: pega -->  PEGA
2422/12343: belcro -->  -
2423/12343: aguante -->  AGUANTE
2424/12343: crueldad -->  CRUELDAD
2425/12343: arrancado -->  ARRANCADO
2426/12343: traspasado -->  TRASPASAR
2427/12343: recibo -->  RECIBO
2428/12343: abierto -->  ABIERTO
2429/12343: poderes -->  PODER
2430/12343: recibos -->  RECIBO
2431/12343: domiciliados -->  DOMICILIAR
2432/12343: comportamientos -->  COMPORTAMIENTO
2433/12343: infantiles -->  INFANTIL
2434/12343: menudo -->  MENUDO
2435/12343: acostará -->  ACOSTAR
2436/12343: mirar -->  MIRAR
2437/12343: aburrida -->  ABURRIDO
2438/12343: esperemos -->  ESPERAR
2439/12343: ah -->  AH
2440/12343: ayudas -->  AYUDA
2441/12343: dais -->  DAR
2442/12343: quiénes -->  QUIÉN
2443/12343: jetas -->  JETA
2444/12343: inmigrantes -->  INMIGRANTE
2445/12343: viven -->  VIVIR
2446/12343: costa -->  COSTA
2447/12343: podíais -->  PODER
2448/12343: preocuparos -->  PREOCUPAR
2449/12343: hacernos -->  HACER
2450/12343: darnos -->  DAR
2451/12343: llegan -->  LLEGAR
2452/12343: temprano -->  TEMPRANO
2453/12343: acostara -->  ACOSTAR
2454/12343: aguanto -->  AGUANTAR
2455/12343: fontanero -->  FONTANERO
2456/12343: pagarlo -->  PAGAR
2457/12343: funcionar -->  FUNCIONAR
2458/12343: digestivo -->  DIGESTIVO
2459/12343: hígado -->  HÍGADO
2460/12343: decía -->  DECIR
2461/12343: encuentra -->  ENCONTRAR
2462/12343: marea -->  MAREA
2463/12343: levantarse -->  LEVANTAR
2464/12343: sociedad -->  SOCIEDAD
2465/12343: ambulatorio -->  AMBULATORIO
2466/12343: tomó -->  TOMAR
2467/12343: torecan -->  -
2468/12343: acostó -->  ACOSTAR
2469/12343: veré -->  VER
2470/12343: cenaré -->  CENAR
2471/12343: recoger -->  RECOGER
2472/12343: confusa -->  CONFUSO
2473/12343: riego -->  RIEGO
2474/12343: soluciona -->  SOLUCIONAR
2475/12343: principio -->  PRINCIPIO
2476/12343: alzheimer -->  ALZHEIMER
2477/12343: completamente -->  COMPLETAMENTE
2478/12343: vacío -->  VACÍO
2479/12343: mata -->  MATA
2480/12343: haré -->  HACER
2481/12343: medita -->  MEDITAR
2482/12343: desvele -->  DESVELAR
2483/12343: baje -->  BAJAR
2484/12343: cueste -->  COSTAR
2485/12343: recupere -->  RECUPERAR
2486/12343: lexatin -->  -
2487/12343: acostumbrada -->  ACOSTUMBRADO
2488/12343: tomarlo -->  TOMAR
2489/12343: echan -->  ECHAR
2490/12343: miren -->  MIRAR
2491/12343: diga -->  DECIR
2492/12343: absurdo -->  ABSURDO
2493/12343: quiera -->  QUERER
2494/12343: asuman -->  ASUMIR
2495/12343: responsabilidades -->  RESPONSABILIDAD
2496/12343: mira -->  MIRA
2497/12343: contracturas -->  CONTRACTURA
2498/12343: ocupado -->  OCUPADO
2499/12343: faltaban -->  FALTAR
2500/12343: ratos -->  RATO
2501/12343: formula -->  FORMULAR
2502/12343: metió -->  METER
2503/12343: pensé -->  PENSAR
2504/12343: sopa -->  SOPA
2505/12343: postre -->  POSTRE
2506/12343: bajé -->  BAJAR
2507/12343: coleta -->  COLETA
2508/12343: fregué -->  FREGAR
2509/12343: cumple -->  CUMPLIR
2510/12343: cariñoso -->  CARIÑOSO
2511/12343: llamo -->  LLAMAR
2512/12343: mato -->  MATAR
2513/12343: jeta -->  JETA
2514/12343: caga -->  CAGAR
2515/12343: culo -->  CULO
2516/12343: pagado -->  PAGADO
2517/12343: sacrificar -->  SACRIFICAR
2518/12343: puñetero -->  PUÑETERO
2519/12343: coño -->  COÑO
2520/12343: acompañar -->  ACOMPAÑAR
2521/12343: acompañado -->  ACOMPAÑADO
2522/12343: intervenir -->  INTERVENIR
2523/12343: obstrucción -->  OBSTRUCCIÓN
2524/12343: heces -->  HEZ
2525/12343: vergonzoso -->  VERGONZOSO
2526/12343: reclamación -->  RECLAMACIÓN
2527/12343: meta -->  META
2528/12343: cabrón -->  CABRÓN
2529/12343: venir -->  VENIR
2530/12343: primitiva -->  PRIMITIVA
2531/12343: preparado -->  PREPARADO
2532/12343: llovía -->  LLOVER
2533/12343: complicados -->  COMPLICADO
2534/12343: juntado -->  JUNTAR
2535/12343: limpié -->  LIMPIAR
2536/12343: rollos -->  ROLLO
2537/12343: aguantarla -->  AGUANTAR
2538/12343: coñazo -->  COÑAZO
2539/12343: señora -->  SEÑORA
2540/12343: importado -->  IMPORTAR
2541/12343: peores -->  PEOR
2542/12343: diciendo -->  DECIR
2543/12343: maltrato -->  MALTRATO
2544/12343: pego -->  PEGO
2545/12343: cartillas -->  CARTILLA
2546/12343: acusar -->  ACUSAR
2547/12343: parar -->  PARAR
2548/12343: meterme -->  METER
2549/12343: alimentos -->  ALIMENTO
2550/12343: sol -->  SOL
2551/12343: calentaba -->  CALENTAR
2552/12343: llovido -->  LLOVIDO
2553/12343: meto -->  METER
2554/12343: calmado -->  CALMAR
2555/12343: niveles -->  NIVEL
2556/12343: subo -->  SUBIR
2557/12343: obsesionada -->  OBSESIONAR
2558/12343: pago -->  PAGO
2559/12343: lavar -->  LAVAR
2560/12343: decirme -->  DECIR
2561/12343: reformarlo -->  REFORMAR
2562/12343: gasta -->  GASTAR
2563/12343: aguanten -->  AGUANTAR
2564/12343: inquilinos -->  INQUILINO
2565/12343: limpiaba -->  LIMPIAR
2566/12343: pintaba -->  PINTAR
2567/12343: condiciones -->  CONDICIÓN
2568/12343: alquiler -->  ALQUILER
2569/12343: rellenar -->  RELLENAR
2570/12343: brazos -->  BRAZO
2571/12343: amenazando -->  AMENAZAR
2572/12343: odiar -->  ODIAR
2573/12343: supuesto -->  SUPUESTO
2574/12343: podría -->  PODER
2575/12343: acordarse -->  ACORDAR
2576/12343: llevársela -->  -
2577/12343: porquería -->  PORQUERÍA
2578/12343: consiga -->  CONSEGUIR
2579/12343: incapacidad -->  INCAPACIDAD
2580/12343: cobrando -->  COBRAR
2581/12343: país -->  PAÍS
2582/12343: sufrimiento -->  SUFRIMIENTO
2583/12343: penitente -->  PENITENTE
2584/12343: plan -->  PLAN
2585/12343: rellene -->  RELLENAR
2586/12343: conozco -->  CONOCER
2587/12343: chico -->  CHICO
2588/12343: esperas -->  ESPERA
2589/12343: caray -->  -
2590/12343: dimos -->  DAR
2591/12343: tendí -->  TENDER
2592/12343: rellenarlo -->  RELLENAR
2593/12343: mejorar -->  MEJORAR
2594/12343: ponerse -->  PONER
2595/12343: antitetánica -->  -
2596/12343: levanta -->  LEVANTAR
2597/12343: vestida -->  VESTIR
2598/12343: calzada -->  CALZADA
2599/12343: abrigo -->  ABRIGO
2600/12343: bolso -->  BOLSO
2601/12343: perfecto -->  PERFECTO
2602/12343: luisa -->  -
2603/12343: lió -->  -
2604/12343: encontrado -->  ENCONTRADO
2605/12343: volante -->  VOLANTE
2606/12343: citología -->  CITOLOGÍA
2607/12343: progesterona -->  -
2608/12343: vía -->  VÍA
2609/12343: vaginal -->  VAGINAL
2610/12343: continuo -->  CONTINUO
2611/12343: moverlo -->  MOVER
2612/12343: arranco -->  ARRANCAR
2613/12343: muevo -->  MOVER
2614/12343: ceno -->  CENAR
2615/12343: acostare -->  -
2616/12343: llamaron -->  LLAMAR
2617/12343: llevaron -->  LLEVAR
2618/12343: informal -->  INFORMAL
2619/12343: aclararlo -->  ACLARAR
2620/12343: zona -->  ZONA
2621/12343: renal -->  RENAL
2622/12343: gestiones -->  GESTIÓN
2623/12343: gas -->  GAS
2624/12343: dani -->  -
2625/12343: tumbe -->  TUMBAR
2626/12343: levantando -->  LEVANTAR
2627/12343: ocuparme -->  OCUPAR
2628/12343: ocúpate -->  -
2629/12343: haz -->  HAZ
2630/12343: fastidiar -->  FASTIDIAR
2631/12343: soportar -->  SOPORTAR
2632/12343: comportamiento -->  COMPORTAMIENTO
2633/12343: gritar -->  GRITAR
2634/12343: espaldacervicales -->  -
2635/12343: estacionamiento -->  ESTACIONAMIENTO
2636/12343: junte -->  JUNTAR
2637/12343: chino -->  CHINO
2638/12343: mantel -->  MANTEL
2639/12343: infusión -->  INFUSIÓN
2640/12343: amargando -->  AMARGAR
2641/12343: armario -->  ARMARIO
2642/12343: servilletas -->  SERVILLETA
2643/12343: utilice -->  UTILIZAR
2644/12343: pescado -->  PESCADO
2645/12343: metí -->  METER
2646/12343: comentarme -->  COMENTAR
2647/12343: harina -->  HARINA
2648/12343: sacarme -->  SACAR
2649/12343: filete -->  FILETE
2650/12343: hacérmelo -->  -
2651/12343: liar -->  LIAR
2652/12343: largado -->  LARGAR
2653/12343: vuelve -->  VOLVER
2654/12343: mete -->  METER
2655/12343: humillaciones -->  HUMILLACIÓN
2656/12343: maltratadora -->  -
2657/12343: fruto -->  FRUTO
2658/12343: maldita -->  MALDITA
2659/12343: gana -->  GANA
2660/12343: asumirlo -->  ASUMIR
2661/12343: admitirlo -->  ADMITIR
2662/12343: holanda -->  -
2663/12343: worten -->  -
2664/12343: gilipollas -->  GILIPOLLAS
2665/12343: redondo -->  REDONDO
2666/12343: relleno -->  RELLENO
2667/12343: castañas -->  CASTAÑA
2668/12343: alérgica -->  ALÉRGICO
2669/12343: nochebuena -->  NOCHEBUENA
2670/12343: bocadillo -->  BOCADILLO
2671/12343: sobreasada -->  ASADO
2672/12343: flan -->  FLAN
2673/12343: uvas -->  UVA
2674/12343: abuela -->  ABUELO
2675/12343: mejores -->  MEJOR
2676/12343: pasta -->  PASTA
2677/12343: vi -->  VER
2678/12343: relajando -->  RELAJAR
2679/12343: prolactina -->  -
2680/12343: tiroides -->  TIROIDES
2681/12343: exacto -->  EXACTO
2682/12343: angioma -->  -
2683/12343: afectarme -->  AFECTAR
2684/12343: repita -->  REPETIR
2685/12343: endocrino -->  ENDOCRINO
2686/12343: hormonas -->  HORMONA
2687/12343: tenerlas -->  TENER
2688/12343: retrasarlo -->  RETRASAR
2689/12343: flanes -->  FLAN
2690/12343: merendado -->  MERENDAR
2691/12343: sacarla -->  SACAR
2692/12343: meterla -->  METER
2693/12343: existe -->  EXISTIR
2694/12343: rozas -->  ROZA
2695/12343: tardado -->  TARDAR
2696/12343: llamaba -->  LLAMAR
2697/12343: duchado -->  DUCHAR
2698/12343: lavado -->  LAVADO
2699/12343: diciembre -->  DICIEMBRE
2700/12343: números -->  NÚMERO
2701/12343: declaración -->  DECLARACIÓN
2702/12343: hacienda -->  HACIENDA
2703/12343: gravamen -->  GRAVAMEN
2704/12343: vender -->  VENDER
2705/12343: acciones -->  ACCIÓN
2706/12343: mirando -->  MIRAR
2707/12343: desgravar -->  DESGRAVAR
2708/12343: felicitar -->  FELICITAR
2709/12343: pasé -->  PASAR
2710/12343: acueste -->  ACOSTAR
2711/12343: malditos -->  MALDITO
2712/12343: haberlos -->  HABER
2713/12343: faltan -->  FALTAR
2714/12343: callao -->  -
2715/12343: iluminación -->  ILUMINACIÓN
2716/12343: plaza -->  PLAZA
2717/12343: asustado -->  ASUSTAR
2718/12343: merecía -->  MERECER
2719/12343: árbol -->  ÁRBOL
2720/12343: rosa -->  ROSA
2721/12343: compraré -->  COMPRAR
2722/12343: anorak -->  -
2723/12343: bonito -->  BONITO
2724/12343: muelas -->  MUELA
2725/12343: comprarle -->  COMPRAR
2726/12343: pregunta -->  PREGUNTA
2727/12343: traído -->  TRAÍDO
2728/12343: mentirosa -->  MENTIROSO
2729/12343: chaquetón -->  CHAQUETÓN
2730/12343: eliminar -->  ELIMINAR
2731/12343: durezas -->  DUREZA
2732/12343: pies -->  PIE
2733/12343: devuelvo -->  DEVOLVER
2734/12343: cabreada -->  CABREAR
2735/12343: boca -->  BOCA
2736/12343: devolver -->  DEVOLVER
2737/12343: compre -->  COMPRAR
2738/12343: acerque -->  ACERCAR
2739/12343: letfies -->  -
2740/12343: botas -->  BOTA
2741/12343: vestido -->  VESTIDO
2742/12343: capricho -->  CAPRICHO
2743/12343: bocata -->  BOCATA
2744/12343: entiende -->  ENTENDER
2745/12343: duela -->  DUELA
2746/12343: dijera -->  DECIR
2747/12343: coge -->  COGER
2748/12343: recoge -->  RECOGER
2749/12343: cogí -->  COGER
2750/12343: llaves -->  LLAVE
2751/12343: patadas -->  PATADA
2752/12343: dame -->  DAR
2753/12343: recojas -->  RECOGER
2754/12343: quedé -->  QUEDAR
2755/12343: compró -->  COMPRAR
2756/12343: devuelto -->  DEVOLVER
2757/12343: despreciado -->  DESPRECIAR
2758/12343: insultar -->  INSULTAR
2759/12343: sacar -->  SACAR
2760/12343: subí -->  SUBIR
2761/12343: pidiéndole -->  -
2762/12343: explicaciones -->  EXPLICACIÓN
2763/12343: colgado -->  COLGADO
2764/12343: elegir -->  ELEGIR
2765/12343: anda -->  ANDA
2766/12343: vendado -->  VENDAR
2767/12343: morado -->  MORADO
2768/12343: tobillo -->  TOBILLO
2769/12343: activos -->  ACTIVO
2770/12343: venda -->  VENDA
2771/12343: proyectos -->  PROYECTO
2772/12343: pierna -->  PIERNA
2773/12343: retraso -->  RETRASO
2774/12343: junta -->  JUNTA
2775/12343: corto -->  CORTO
2776/12343: bloquea -->  BLOQUEAR
2777/12343: anula -->  ANULAR
2778/12343: cruz -->  CRUZ
2779/12343: diarreas -->  DIARREA
2780/12343: límites -->  LÍMITE
2781/12343: retrasa -->  RETRASAR
2782/12343: embarazo -->  EMBARAZO
2783/12343: evitarlo -->  EVITAR
2784/12343: histeria -->  HISTERIA
2785/12343: muere -->  MORIR
2786/12343: ven -->  VENIR
2787/12343: legal -->  LEGAL
2788/12343: eutanasia -->  EUTANASIA
2789/12343: arrancar -->  ARRANCAR
2790/12343: calmada -->  CALMAR
2791/12343: motivaciones -->  MOTIVACIÓN
2792/12343: soporte -->  SOPORTE
2793/12343: empeora -->  EMPEORAR
2794/12343: chiste -->  CHISTE
2795/12343: egoísmo -->  EGOÍSMO
2796/12343: calentar -->  CALENTAR
2797/12343: abril -->  ABRIL
2798/12343: lengua -->  LENGUA
2799/12343: grosero -->  GROSERO
2800/12343: parió -->  PARIR
2801/12343: felicidades -->  FELICIDAD
2802/12343: pastel -->  PASTEL
2803/12343: sufriendo -->  SUFRIR
2804/12343: lenta -->  LENTO
2805/12343: agónica -->  AGÓNICO
2806/12343: disfrute -->  DISFRUTE
2807/12343: basura -->  BASURA
2808/12343: pasearme -->  PASEAR
2809/12343: sirven -->  SERVIR
2810/12343: chorradas -->  CHORRADA
2811/12343: pegues -->  PEGAR
2812/12343: desequilibrada -->  DESEQUILIBRADO
2813/12343: llamada -->  LLAMADA
2814/12343: pegado -->  PEGADO
2815/12343: juicio -->  JUICIO
2816/12343: llevare -->  -
2817/12343: blog -->  -
2818/12343: servirá -->  SERVIR
2819/12343: vera -->  VERA
2820/12343: llevadera -->  LLEVADERO
2821/12343: alquilado -->  ALQUILADO
2822/12343: doliendo -->  DOLER
2823/12343: salón -->  SALÓN
2824/12343: sitio -->  SITIO
2825/12343: web -->  WEB
2826/12343: ayudaría -->  AYUDAR
2827/12343: hacerla -->  HACER
2828/12343: online -->  -
2829/12343: inversiones -->  INVERSIÓN
2830/12343: bolsa -->  BOLSA
2831/12343: ahorros -->  AHORRO
2832/12343: digestivos -->  DIGESTIVO
2833/12343: corrido -->  CORRIDO
2834/12343: doler -->  DOLER
2835/12343: hinchado -->  HINCHADO
2836/12343: incomoda -->  INCOMODAR
2837/12343: engordar -->  ENGORDAR
2838/12343: tontería -->  TONTERÍA
2839/12343: cruzado -->  CRUZADO
2840/12343: cables -->  CABLE
2841/12343: reproches -->  REPROCHE
2842/12343: ingrata -->  INGRATO
2843/12343: hacíamos -->  HACER
2844/12343: veíamos -->  VER
2845/12343: pontevedra -->  -
2846/12343: gustado -->  GUSTADO
2847/12343: verlo -->  VER
2848/12343: eccema -->  ECCEMA
2849/12343: pica -->  PICA
2850/12343: asumir -->  ASUMIR
2851/12343: echo -->  ECHAR
2852/12343: intentaré -->  INTENTAR
2853/12343: herbolario -->  HERBOLARIO
2854/12343: aloe -->  -
2855/12343: carbón -->  CARBÓN
2856/12343: vegetal -->  VEGETAL
2857/12343: emocionalmente -->  EMOCIONALMENTE
2858/12343: partes -->  PARTE
2859/12343: solucionan -->  SOLUCIONAR
2860/12343: importo -->  IMPORTAR
2861/12343: falsa -->  FALSO
2862/12343: hipócrita -->  HIPÓCRITA
2863/12343: acuestas -->  ACOSTAR
2864/12343: levantas -->  LEVANTAR
2865/12343: vacíos -->  VACÍO
2866/12343: llenan -->  LLENAR
2867/12343: bloqueos -->  BLOQUEO
2868/12343: esforzarse -->  ESFORZAR
2869/12343: chacha -->  CHACHA
2870/12343: barata -->  BARATA
2871/12343: responsabilizarme -->  RESPONSABILIZAR
2872/12343: reposo -->  REPOSO
2873/12343: cementerio -->  CEMENTERIO
2874/12343: crucen -->  CRUZAR
2875/12343: torrijas -->  TORRIJA
2876/12343: pájaros -->  PÁJARO
2877/12343: atacado -->  ATACADO
2878/12343: herido -->  HERIDO
2879/12343: curarlo -->  CURAR
2880/12343: esmere -->  ESMERAR
2881/12343: imbécil -->  IMBÉCIL
2882/12343: pudra -->  PUDRIR
2883/12343: colonoscopia -->  -
2884/12343: joda -->  JODER
2885/12343: odiosa -->  ODIOSO
2886/12343: acuerda -->  ACORDAR
2887/12343: raros -->  RARO
2888/12343: pedí -->  PEDIR
2889/12343: planchara -->  PLANCHAR
2890/12343: planche -->  PLANCHAR
2891/12343: menuda -->  MENUDO
2892/12343: lave -->  LAVAR
2893/12343: secador -->  SECADOR
2894/12343: desparasitarlo -->  DESPARASITAR
2895/12343: diazepam -->  -
2896/12343: relajar -->  RELAJAR
2897/12343: darla -->  DAR
2898/12343: cortarte -->  CORTAR
2899/12343: uñas -->  UÑA
2900/12343: larga -->  LARGA
2901/12343: infección -->  INFECCIÓN
2902/12343: tía -->  TÍO
2903/12343: piense -->  PENSAR
2904/12343: gratis -->  GRATIS
2905/12343: pájaro -->  PÁJARO
2906/12343: jaula -->  JAULA
2907/12343: mordido -->  MORDER
2908/12343: impresionaba -->  IMPRESIONAR
2909/12343: limpiarlo -->  LIMPIAR
2910/12343: suelta -->  SUELTO
2911/12343: coladas -->  COLADA
2912/12343: solucionando -->  SOLUCIONAR
2913/12343: dices -->  DECIR
2914/12343: fastidia -->  FASTIDIAR
2915/12343: fastidian -->  FASTIDIAR
2916/12343: condicionada -->  CONDICIONADO
2917/12343: totalmente -->  TOTALMENTE
2918/12343: engordo -->  ENGORDAR
2919/12343: niño -->  NIÑO
2920/12343: india -->  INDIO
2921/12343: sonreír -->  SONREÍR
2922/12343: cariño -->  CARIÑO
2923/12343: torpeza -->  TORPEZA
2924/12343: escribe -->  ESCRIBIR
2925/12343: sentarme -->  SENTAR
2926/12343: bah -->  BAH
2927/12343: gilipolleces -->  GILIPOLLEZ
2928/12343: lavarme -->  LAVAR
2929/12343: secarme -->  SECAR
2930/12343: golpes -->  GOLPE
2931/12343: echándome -->  -
2932/12343: neurosis -->  NEUROSIS
2933/12343: amargada -->  AMARGADO
2934/12343: joder -->  JODER
2935/12343: paquete -->  PAQUETE
2936/12343: freído -->  FREÍR
2937/12343: suicidaba -->  SUICIDAR
2938/12343: enterado -->  ENTERADO
2939/12343: prueba -->  PRUEBA
2940/12343: deba -->  DEBER
2941/12343: irse -->  IR
2942/12343: disgustos -->  DISGUSTO
2943/12343: fallas -->  FALLA
2944/12343: viento -->  VIENTO
2945/12343: email -->  EMAIL
2946/12343: desvelos -->  DESVELO
2947/12343: chispeaba -->  CHISPEAR
2948/12343: relajo -->  RELAJO
2949/12343: manzana -->  MANZANA
2950/12343: decirla -->  DECIR
2951/12343: limpiara -->  LIMPIAR
2952/12343: criada -->  CRIADA
2953/12343: tocado -->  TOCADO
2954/12343: correos -->  CORREO
2955/12343: bajando -->  BAJAR
2956/12343: enviar -->  ENVIAR
2957/12343: barrí -->  BARRER
2958/12343: acumule -->  ACUMULAR
2959/12343: chachas -->  CHACHA
2960/12343: gratuitas -->  GRATUITO
2961/12343: polvo -->  POLVO
2962/12343: muebles -->  MUEBLE
2963/12343: ay -->  AY
2964/12343: joderse -->  JODER
2965/12343: jodan -->  JODER
2966/12343: veis -->  VER
2967/12343: eh -->  EH
2968/12343: facebook -->  -
2969/12343: conocí -->  CONOCER
2970/12343: adopción -->  ADOPCIÓN
2971/12343: castiga -->  CASTIGAR
2972/12343: bloqueado -->  BLOQUEAR
2973/12343: desvelado -->  DESVELADO
2974/12343: reumatóloga -->  -
2975/12343: templo -->  TEMPLO
2976/12343: debod -->  -
2977/12343: íbamos -->  IR
2978/12343: primera -->  PRIMERA
2979/12343: cansadísima -->  -
2980/12343: limitado -->  LIMITADO
2981/12343: trafico -->  TRAFICAR
2982/12343: jesús -->  -
2983/12343: medinaceli -->  -
2984/12343: colegiata -->  COLEGIATA
2985/12343: san -->  SAN
2986/12343: isidro -->  -
2987/12343: aparcar -->  APARCAR
2988/12343: ensucia -->  ENSUCIAR
2989/12343: tristes -->  TRISTE
2990/12343: apagados -->  APAGADO
2991/12343: apartamento -->  APARTAMENTO
2992/12343: detenida -->  DETENIDO
2993/12343: celda -->  CELDA
2994/12343: comisaría -->  COMISARÍA
2995/12343: calabozo -->  CALABOZO
2996/12343: castilla -->  -
2997/12343: salio -->  -
2998/12343: servicios -->  SERVICIO
2999/12343: despavorida -->  DESPAVORIDO
3000/12343: política -->  POLÍTICO
3001/12343: denuncio -->  DENUNCIO
3002/12343: arruinar -->  ARRUINAR
3003/12343: perdonar -->  PERDONAR
3004/12343: demencia -->  DEMENCIA
3005/12343: fío -->  FIAR
3006/12343: perdono -->  PERDONAR
3007/12343: abogado -->  ABOGADO
3008/12343: lío -->  LÍO
3009/12343: ocurrido -->  OCURRIDO
3010/12343: pasteles -->  PASTEL
3011/12343: desorientada -->  DESORIENTAR
3012/12343: despistada -->  DESPISTADO
3013/12343: recuerda -->  RECORDAR
3014/12343: alberto -->  -
3015/12343: clamada -->  CLAMAR
3016/12343: costaba -->  COSTAR
3017/12343: leído -->  LEÍDO
3018/12343: asumo -->  ASUMIR
3019/12343: perdiera -->  PERDER
3020/12343: viernes -->  VIERNES
3021/12343: lloraba -->  LLORAR
3022/12343: dejes -->  DEJE
3023/12343: pediremos -->  PEDIR
3024/12343: cuidarla -->  CUIDAR
3025/12343: deteriorando -->  DETERIORAR
3026/12343: pobrecita -->  -
3027/12343: derrumbado -->  DERRUMBAR
3028/12343: consolaba -->  CONSOLAR
3029/12343: viva -->  VIVA
3030/12343: mando -->  MANDO
3031/12343: dibujos -->  DIBUJO
3032/12343: neurólogo -->  NEURÓLOGO
3033/12343: proceso -->  PROCESO
3034/12343: degenerativo -->  DEGENERATIVO
3035/12343: injusto -->  INJUSTO
3036/12343: asumido -->  ASUMIR
3037/12343: aceptarlo -->  ACEPTAR
3038/12343: cuidare -->  -
3039/12343: vienen -->  VENIR
3040/12343: cuéntame -->  -
3041/12343: capítulo -->  CAPÍTULO
3042/12343: primas -->  PRIMA
3043/12343: decirles -->  DECIR
3044/12343: coloreando -->  COLOREAR
3045/12343: asimilando -->  ASIMILAR
3046/12343: discutíamos -->  DISCUTIR
3047/12343: apagando -->  APAGAR
3048/12343: carrera -->  CARRERA
3049/12343: dibujando -->  DIBUJAR
3050/12343: come -->  COMER
3051/12343: reza -->  REZAR
3052/12343: ama -->  AMO
3053/12343: aburren -->  ABURRIR
3054/12343: lapida -->  LAPIDAR
3055/12343: mirtazapina -->  -
3056/12343: suben -->  SUBIR
3057/12343: fertilidad -->  FERTILIDAD
3058/12343: mareo -->  MAREO
3059/12343: extremo -->  EXTREMO
3060/12343: complicada -->  COMPLICADO
3061/12343: injusta -->  INJUSTO
3062/12343: tramitar -->  TRAMITAR
3063/12343: ley -->  LEY
3064/12343: dependencia -->  DEPENDENCIA
3065/12343: grosera -->  GROSERO
3066/12343: dudado -->  DUDAR
3067/12343: endocrinóloga -->  -
3068/12343: privada -->  PRIVADO
3069/12343: vimos -->  VER
3070/12343: juzguen -->  JUZGAR
3071/12343: enviaron -->  ENVIAR
3072/12343: callen -->  CALLAR
3073/12343: error -->  ERROR
3074/12343: informado -->  INFORMADO
3075/12343: derechos -->  DERECHO
3076/12343: protección -->  PROTECCIÓN
3077/12343: datos -->  DATO
3078/12343: autorizo -->  AUTORIZAR
3079/12343: historial -->  HISTORIAL
3080/12343: entregado -->  ENTREGADO
3081/12343: fjd -->  -
3082/12343: permiso -->  PERMISO
3083/12343: quitaba -->  QUITAR
3084/12343: volviendo -->  VOLVER
3085/12343: dibujar -->  DIBUJAR
3086/12343: mayo -->  MAYO
3087/12343: señor -->  SEÑOR
3088/12343: conocerme -->  CONOCER
3089/12343: acertó -->  ACERTAR
3090/12343: encontrarlo -->  ENCONTRAR
3091/12343: pesas -->  PESA
3092/12343: fortalecer -->  FORTALECER
3093/12343: similar -->  SIMILAR
3094/12343: adelantado -->  ADELANTADO
3095/12343: injustamente -->  INJUSTAMENTE
3096/12343: pijama -->  PIJAMA
3097/12343: mayores -->  MAYOR
3098/12343: ninguno -->  NINGÚN
3099/12343: felicitarla -->  FELICITAR
3100/12343: escondido -->  ESCONDER
3101/12343: pillado -->  PILLAR
3102/12343: minuto -->  MINUTO
3103/12343: resisto -->  RESISTIR
3104/12343: frecuente -->  FRECUENTE
3105/12343: orientativa -->  ORIENTATIVO
3106/12343: cambiando -->  CAMBIAR
3107/12343: palpitaciones -->  PALPITACIÓN
3108/12343: diagnóstico -->  DIAGNÓSTICO
3109/12343: estrasístoles -->  -
3110/12343: auriculares -->  AURICULAR
3111/12343: ventriculares -->  -
3112/12343: pautado -->  PAUTADO
3113/12343: betabloqueantes -->  -
3114/12343: bisoprol -->  -
3115/12343: notifiqué -->  NOTIFICAR
3116/12343: escitalopram -->  -
3117/12343: objeción -->  OBJECIÓN
3118/12343: medicamentos -->  MEDICAMENTO
3119/12343: pautadas -->  PAUTADO
3120/12343: notar -->  NOTAR
